Song Name,Artist
Heavy Rotation,AKB48
Silent Majority,Keyakizaka46
Koi Suru Fortune Cookie,AKB48
Inochi wa Utsukushii,Nogizaka46
Seishun no Lap Time,NMB48
Shitsuren, Arigatou,AKB48
Gomen ne Fingers Crossed,Nogizaka46
Ima, Hanashitai Dareka ga Iru,Nogizaka46
Ambivalent,Keyakizaka46
Bokutachi wa Tatakawanai,AKB48
Silent Siren,Silent Siren
Hashire! Bicycle,Nogizaka46
Influencer,Nogizaka46
Beginner,AKB48
Dareka no Tame ni - What can I do for someone?,AKB48
Kazeni Fukaretemo,Keyakizaka46
Teacher Teacher,AKB48
Synchronicity,Nogizaka46
Koisuru Universe,Scandal
Sayounara Crawl,AKB48
River,AKB48
Sayonara no Imi,Nogizaka46
No Way Man,AKB48
Futari Saison,Keyakizaka46
Sekai ni wa Ai Shika Nai,Keyakizaka46
Endless Sky,Morning Musume
Seifuku no Mannequin,Nogizaka46
Jounetsu no Spare,Momoiro Clover Z
Yoru ni Kakeru,YOASOBI
Flying Get,AKB48
Garasu wo Ware!,Keyakizaka46
Guru Guru Curtain,Nogizaka46
Seishun no Hikari,Morning Musume
Max Toki 315-go,NGT48
Shonichi,AKB48
Glass wo Ware!,Keyakizaka46
Natsu no Free & Easy,Nogizaka46
Anata no Kisu o Kazoemashou,Juice=Juice
Sayonara Crawl,AKB48
Bang Dream,BanG Dream!
Love Machine,Morning Musume
Nandome no Aozora ka?,Nogizaka46
Zetsumetsu Kurokami Shoujo,NMB48
Hikaeme I Love You!,HKT48
Zankoku na Tenshi no These,ClariS
PPPH!,Dempagumi.inc
Yasashiku Naritai,Sandaime J Soul Brothers
Otona wa Shinjite Kurenai,Keyakizaka46
Kiss no Mado Kara,HKT48
Shoujotachi yo,AKB48
Harujion ga Sakukoro,Nogizaka46
Escape,SKE48
Heart Gata Virus,AKB48
Ikuze! Kaitou Shoujo,Momoiro Clover Z
Shiroi Tsubasa,Fairies
Kikkake,Nogizaka46
Orange,TOKIO
Honto no Jibun,Buono!
Daite HOLD ON ME!,Morning Musume
Shiny Smile,Prizmmy☆
Time Machine Nante Iranai,Maaya Sakamoto
Mirai no Tobira,AKB48
Negai Goto no Mochigusare,AKB48
24karats Gold Soul,E-girls
Maji Desu ka Ska!,Morning Musume
Seishun no Kage,C-ute
Kimagure Princess,Morning Musume
Cherry,Spitz
Shiritai Koto, Shiritakunai Koto,Nogizaka46
Kimi no Na wa Kibou,Nogizaka46
Take a picture,NiziU
Hikari no Naka e,Morning Musume
Thank You Too Much!,HKT48
Katte ni MY SOUL,Dish//
Sayonara Daisuki na Hito,Mongol800
Sakurairo Mau Koro,Anri Kumaki
Koi no Jubaku,Berryz Kobo
Aitakatta,AKB48
T.W.L,Kanjani Eight
Koisuru Futari,Momoiro Clover Z
Nijiiro,Ayaka
365 Nichi no Kamihikouki,AKB48
Blue Bird,Ikimono Gakari
Bokura no Eureka,NMB48
End Roll,AKB48
Kimito no Kiseki,Fairies
Dear My Friend,Every Little Thing
Tsubasa wo Kudasai,AKB48
Flying Humanoid,Shoko Nakagawa
Massugu,Little Glee Monster
Shoujo A,AKB48
Otome no Inori,C-ute
Bring It On!,Fairies
Everyday Katyusha,AKB48
Ten Made Nobore!,HKT48
Chime,King Gnu
Oogoe Diamond,AKB48
Hare Hare Yukai,Suzumiya Haruhi
Sakura Gakuin 2010,Sakura Gakuin
